District Name,School Code,School Name,Year,State Board Region,EVAAS Growth Status,EVAAS Growth Index,Percent Participation Targets Met,Percent Meeting Benchmark or Standard ACT,ACT WorkKeys Percent,Passing NC Math 3 Percent,4-Year Cohort Graduation Rate Percent,5-Year Cohort Graduation Rate Percent,Graduation Project
State of North Carolina,NC,State of North Carolina,'16-'17,,,,92.9,58.8,73.3,95,86.5,87.5,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'16-'17,Southwest,,,84.7,56.3,77,95,89.4,90.7,
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'16-'17,Southwest,Exceeded,11.75,97.7,87.6,92.3,95,95,95,Y
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'16-'17,Southwest,Exceeded,3.38,85.4,81.4,87.7,95,93.3,94.6,Y
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,'16-'17,Southwest,,,66.7,94.8,*,95,95,95,Y
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,'16-'17,Southwest,NotMet,-2.56,100,60.6,76.9,95,77.8,87,Y
Charlotte-Mecklenburg Schools,600361,Butler High,'16-'17,Southwest,Exceeded,7.07,92.9,58.1,91.2,95,93.1,93.5,Y
Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,'16-'17,Southwest,NotMet,-3.41,100,58.8,*,95,90.3,95,Y
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'16-'17,Southwest,Exceeded,7.23,93.3,54.7,85,95,91,89.6,Y
Charlotte-Mecklenburg Schools,600386,Hawthorne High,'16-'17,Southwest,Met,1.73,100,61.5,86.7,95,95,82.1,Y
Charlotte-Mecklenburg Schools,600397,Garinger High,'16-'17,Southwest,Exceeded,8.08,42.1,19.2,59.6,95,75.8,82.2,Y
Charlotte-Mecklenburg Schools,600405,Harding University High,'16-'17,Southwest,Met,-0.48,54.5,21.5,48.8,95,77,78.8,Y
Charlotte-Mecklenburg Schools,600415,Hopewell High,'16-'17,Southwest,NotMet,-2.07,83.8,40.9,82.8,95,89.2,92.4,Y
Charlotte-Mecklenburg Schools,600426,Independence High,'16-'17,Southwest,Exceeded,10.94,85.1,53.2,75.6,95,89.3,91.5,Y
Charlotte-Mecklenburg Schools,600439,Turning Point Academy,'16-'17,Southwest,NotMet,-10.17,0,*,,,5,5,Y
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'16-'17,Southwest,,,100,95,95,95,95,95,Y
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'16-'17,Southwest,Exceeded,2.78,73.3,50.5,70.5,95,95,95,Y
Charlotte-Mecklenburg Schools,600454,Metro School,'16-'17,Southwest,,,,,,,5,5,Y
Charlotte-Mecklenburg Schools,600457,Rocky River High,'16-'17,Southwest,Met,-0.55,65.6,23.5,60,95,94.1,89.5,Y
Charlotte-Mecklenburg Schools,600461,Lincoln Heights Academy,'16-'17,Southwest,Met,-0.19,22.2,,,,*,*,Y
Charlotte-Mecklenburg Schools,600466,Myers Park High,'16-'17,Southwest,Exceeded,3.03,61.9,76.4,74.1,94.9,94.2,94.4,Y
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High,'16-'17,Southwest,NotMet,-2.4,73.2,43.1,58.9,95,95,94.5,Y
Charlotte-Mecklenburg Schools,600482,Northwest School of the Arts,'16-'17,Southwest,Met,1.75,100,75.6,*,95,95,95,Y
Charlotte-Mecklenburg Schools,600496,Phillip O Berry Academy of Technology,'16-'17,Southwest,Met,-0.35,97,55.5,76,95,95,95,Y
Charlotte-Mecklenburg Schools,600498,Performance Learning Center,'16-'17,Southwest,NotMet,-5.19,91.7,38.1,*,90.5,93,91.8,Y
Charlotte-Mecklenburg Schools,600499,eLearning Academy,'16-'17,Southwest,NotMet,-4.77,8.3,77.4,*,95,95,,Y
Charlotte-Mecklenburg Schools,600508,Providence High,'16-'17,Southwest,Exceeded,7.29,100,91.1,95,95,95,95,Y
Charlotte-Mecklenburg Schools,600535,South Mecklenburg High,'16-'17,Southwest,Exceeded,9.01,80.4,63.1,81,95,93,94.1,Y
Charlotte-Mecklenburg Schools,600576,West Charlotte High,'16-'17,Southwest,Exceeded,2.5,28.6,17.6,42.9,95,88.1,87.5,Y
Charlotte-Mecklenburg Schools,600579,West Mecklenburg High,'16-'17,Southwest,NotMet,-3.88,21.2,21.4,48.3,95,81.4,87.7,Y
Charlotte-Mecklenburg Schools,600592,Vance High,'16-'17,Southwest,Met,-1.43,82.4,27.5,66.2,95,90.8,87.4,Y
Charlotte-Mecklenburg Schools,600693,Olympic High - Renaissance School,'16-'17,Southwest,NotMet,-4.03,72,49.6,*,95,90.4,93.5,Y
Charlotte-Mecklenburg Schools,600694,Olympic High-Math Eng Tech Science,'16-'17,Southwest,Met,0.54,96.3,65.7,90.7,95,95,95,Y
Charlotte-Mecklenburg Schools,600695,Olympic TEAM High School,'16-'17,Southwest,Met,-0.5,63.2,25.6,76.5,95,95,*,Y
Charlotte-Mecklenburg Schools,600696,Olympic High-Leadership and Development,'16-'17,Southwest,NotMet,-3.86,21.1,26.3,*,95,88.2,88.8,Y
Charlotte-Mecklenburg Schools,600697,Olympic High - Biotech Health Pub Admin,'16-'17,Southwest,Exceeded,4.99,84,53.2,84.6,95,95,95,Y
